element;layer;level;color;siteid;alias
PTT-Aracaju;PTT;10;;PTTARACAJU;
PTT-Belem;PTT;10;;PTTBELEM;
PTT-Belo Horiz;PTT;10;;PTTBELOHORIZO;
PTT-Brasilia;PTT;10;;PTTBRASILIA;
PTT-Campinas;PTT;10;;PTTCAMPINAS;
PTT-Campo Gran;PTT;10;;PTTCAMPOGRAND;
PTT-Cuiaba;PTT;10;;PTTCUIABA;
PTT-Curitiba;PTT;10;;PTTCURITIBA;
PTT-Florianopo;PTT;10;;PTTFLORIANOPO;
PTT-Fortaleza;PTT;10;;PTTFORTALEZA;
PTT-Goiania;PTT;10;;PTTGOIANIA;
PTT-Joao Pesso;PTT;10;;PTTJOAOPESSOA;
PTT-Maceio;PTT;10;;PTTMACEIO;
PTT-Manaus;PTT;10;;PTTMANAUS;
PTT-Natal;PTT;10;;PTTNATAL;
PTT-Porto Aleg;PTT;10;;PTTPORTOALEGR;
PTT-Recife;PTT;10;;PTTRECIFE;
PTT-Rio de Jan;PTT;10;;PTTRIODEJANEI;
PTT-Salvador;PTT;10;;PTTSALVADOR;
PTT-Sao Luis;PTT;10;;PTTSAOLUIS;
PTT-Sao Paulo;PTT;10;;PTTSAOPAULO;
PTT-Teresina;PTT;10;;PTTTERESINA;
PTT-Vitoria;PTT;10;;PTTVITORIA;
RTIC-MAN01-01;INNER-CORE;1;;AMMANAUS0IC001;
RTIC-BEL02-01;INNER-CORE;1;;PABELEM0IC001;
RTIC-FOR03-01;INNER-CORE;1;;CEFORTALEZA0IC001;
RTIC-REC04-01;INNER-CORE;1;;PERECIFE0IC001;
RTIC-SAL05-01;INNER-CORE;1;;BASALVADOR0IC001;
RTIC-BRA06-01;INNER-CORE;1;;DFBRASILIA0IC001;
RTIC-CUI07-01;INNER-CORE;1;;MTCUIABA0IC001;
RTIC-SAO08-01;INNER-CORE;1;;SPSAOPAULO0IC001;
RTIC-RIO09-01;INNER-CORE;1;;RJRIODEJANEI0IC001;
RTIC-RIO10-01;INNER-CORE;1;;RJRIODEJANEI0IC002;
RTIC-CAM11-01;INNER-CORE;1;;SPCAMPINAS0IC001;
RTIC-VIT12-01;INNER-CORE;1;;ESVITORIA0IC001;
RTIC-CUR13-01;INNER-CORE;1;;PRCURITIBA0IC001;
RTIC-POR14-01;INNER-CORE;1;;RSPORTOALEGR0IC001;
RTRR-Norte01-01;REFLECTOR;3;;AMMANAUS0RR001;
RTRR-Norte02-01;REFLECTOR;3;;PABELEM0RR001;
RTRR-Norde03-01;REFLECTOR;3;;CEFORTALEZA0RR001;
RTRR-Norde04-01;REFLECTOR;3;;RNNATAL0RR001;
RTRR-Norde05-01;REFLECTOR;3;;ALMACEIO0RR001;
RTRR-Centr06-01;REFLECTOR;3;;DFBRASILIA0RR001;
RTRR-Centr07-01;REFLECTOR;3;;MTCUIABA0RR001;
RTRR-Sudes08-01;REFLECTOR;3;;SPSAOPAULO0RR001;
RTRR-Sudes09-01;REFLECTOR;3;;RJRIODEJANEI0RR001;
RTRR-Sudes10-01;REFLECTOR;3;;MGBELOHORIZO0RR001;
RTRR-Vitor11-01;REFLECTOR;3;;ESVITORIA0RR001;
RTRR-Campi12-01;REFLECTOR;3;;SPCAMPINAS0RR001;
RTRR-Campi13-01;REFLECTOR;3;;SPCAMPINAS0RR002;
RTRR-Sul114-01;REFLECTOR;3;;PRCURITIBA0RR001;
RTRR-Sul215-01;REFLECTOR;3;;SCJOINVILLE0RR001;
RTPR-AM01-01;PEERING;4;;AMMANAUS0PR001;
RTPR-CE01-01;PEERING;4;;CEFORTALEZA0PR001;
RTPR-BA02-01;PEERING;4;;BASALVADOR0PR001;
RTPR-PI03-01;PEERING;4;;PITERESINA0PR001;
RTPR-GO01-01;PEERING;4;;GOGOIANIA0PR001;
RTPR-ES01-01;PEERING;4;;ESVITORIA0PR001;
RTPR-ES02-01;PEERING;4;;ESVITORIA0PR002;
RTPR-RJ03-01;PEERING;4;;RJRIODEJANEI0PR001;
RTPR-SP04-01;PEERING;4;;SPCAMPINAS0PR001;
RTPR-RS01-01;PEERING;4;;RSPORTOALEGR0PR001;
RTED-AP01-01;EDGE;5;;APSANTANA0ED001;
RTED-AP01-02;EDGE;5;;APMACAPA0ED001;
RTED-AC02-01;EDGE;5;;ACCRUZEIRODO0ED001;
RTED-AC02-02;EDGE;5;;ACSENAMADURE0ED001;
RTED-SE01-01;EDGE;5;;SENOSSASENHO0ED001;
RTED-SE01-02;EDGE;5;;SEARACAJU0ED001;
RTED-PE02-01;EDGE;5;;PEJABOATAODO0ED001;
RTED-PE02-02;EDGE;5;;PERECIFE0ED001;
RTED-AL03-01;EDGE;5;;ALMACEIO0ED001;
RTED-AL03-02;EDGE;5;;ALMACEIO0ED002;
RTED-SE04-01;EDGE;5;;SEARACAJU0ED002;
RTED-SE04-02;EDGE;5;;SEARACAJU0ED003;
RTED-PB05-01;EDGE;5;;PBJOAOPESSOA0ED001;
RTED-PB05-02;EDGE;5;;PBJOAOPESSOA0ED002;
RTED-DF01-01;EDGE;5;;DFBRASILIA0ED001;
RTED-DF01-02;EDGE;5;;DFBRASILIA0ED002;
RTED-DF02-01;EDGE;5;;DFBRASILIA0ED003;
RTED-DF02-02;EDGE;5;;DFBRASILIA0ED004;
RTED-MG01-01;EDGE;5;;MGCONTAGEM0ED001;
RTED-MG01-02;EDGE;5;;MGBELOHORIZO0ED001;
RTED-MG02-01;EDGE;5;;MGBELOHORIZO0ED002;
RTED-MG02-02;EDGE;5;;MGBELOHORIZO0ED003;
RTED-MG03-01;EDGE;5;;MGBELOHORIZO0ED004;
RTED-MG03-02;EDGE;5;;MGBELOHORIZO0ED005;
RTED-MG04-01;EDGE;5;;MGCONTAGEM0ED002;
RTED-MG04-02;EDGE;5;;MGBELOHORIZO0ED006;
RTED-SP05-01;EDGE;5;;SPCAMPINAS0ED001;
RTED-SP05-02;EDGE;5;;SPCAMPINAS0ED002;
