siteid;Location;GeographicRegion;Latitude;Longitude
PTTARACAJU;Aracaju;Nordeste;10.56.51.34S;37.4.23.75W
PTTBELEM;Belem;Norte;1.27.19.22S;48.29.24.51W
PTTBELOHORIZO;Belo Horizonte;Sudeste;19.54.59.01S;43.56.5.10W
PTTBRASILIA;Brasilia;Centro-Oeste;15.47.50.51S;47.53.31.27W
PTTCAMPINAS;Campinas;Sudeste;22.54.18.39S;47.3.40.27W
PTTCAMPOGRAND;Campo Grande;Centro-Oeste;20.28.12.69S;54.37.12.47W
PTTCUIABA;Cuiaba;Centro-Oeste;15.36.5.12S;56.5.52.14W
PTTCURITIBA;Curitiba;Sul;25.25.44.67S;49.16.3.10W
PTTFLORIANOPO;Florianopolis;Sul;27.35.43.30S;48.32.54.37W
PTTFORTALEZA;Fortaleza;Nordeste;3.43.55.98S;38.31.34.87W
PTTGOIANIA;Goiania;Centro-Oeste;16.40.52.12S;49.15.11.38W
PTTJOAOPESSOA;Joao Pessoa;Nordeste;7.7.11.41S;34.50.42.85W
PTTMACEIO;Maceio;Nordeste;9.38.57.59S;35.42.30.80W
PTTMANAUS;Manaus;Norte;3.7.6.88S;60.1.18.73W
PTTNATAL;Natal;Nordeste;5.46.45.80S;35.12.3.51W
PTTPORTOALEGR;Porto Alegre;Sul;30.2.6.01S;51.13.4.72W
PTTRECIFE;Recife;Nordeste;8.3.28.97S;34.52.56.68W
PTTRIODEJANEI;Rio de Janeiro;Sudeste;22.54.41.23S;43.12.34.61W
PTTSALVADOR;Salvador;Nordeste;12.58.18.38S;38.30.6.62W
PTTSAOLUIS;Sao Luis;Nordeste;2.31.51.94S;44.18.23.15W
PTTSAOPAULO;Sao Paulo;Sudeste;23.32.0.95S;46.37.30.62W
PTTTERESINA;Teresina;Nordeste;5.5.31.19S;42.48.14.83W
PTTVITORIA;Vitoria;Sudeste;20.19.11.11S;40.20.14.59W
AMMANAUS0IC001;Manaus;Norte;3.5.59.51S;60.0.0.32W
PABELEM0IC001;Belem;Norte;1.27.36.02S;48.30.1.28W
CEFORTALEZA0IC001;Fortaleza;Nordeste;3.43.13.71S;38.32.23.62W
PERECIFE0IC001;Recife;Nordeste;8.3.0.29S;34.54.1.09W
BASALVADOR0IC001;Salvador;Nordeste;12.58.10.28S;38.29.58.77W
DFBRASILIA0IC001;Brasilia;Centro-Oeste;15.46.48.03S;47.55.49.34W
MTCUIABA0IC001;Cuiaba;Centro-Oeste;15.35.58.55S;56.5.58.92W
SPSAOPAULO0IC001;Sao Paulo;Sudeste;23.32.58.43S;46.37.49.69W
RJRIODEJANEI0IC001;Rio de Janeiro;Sudeste;22.54.35.28S;43.11.58.44W
RJRIODEJANEI0IC002;Rio de Janeiro;Sudeste;22.54.39.53S;43.12.32.44W
SPCAMPINAS0IC001;Campinas;Sudeste;22.54.21.09S;47.3.38.08W
ESVITORIA0IC001;Vitoria;Sudeste;20.19.9.76S;40.20.13.17W
PRCURITIBA0IC001;Curitiba;Sul;25.25.10.34S;49.16.13.31W
RSPORTOALEGR0IC001;Porto Alegre;Sul;30.1.48.33S;51.13.46.92W
AMMANAUS0RR001;Manaus;Norte;3.5.58.86S;60.0.0.75W
PABELEM0RR001;Belem;Norte;1.27.35.27S;48.29.59.14W
CEFORTALEZA0RR001;Fortaleza;Nordeste;3.43.13.76S;38.32.25.16W
RNNATAL0RR001;Natal;Nordeste;5.46.47.56S;35.12.1.66W
ALMACEIO0RR001;Maceio;Nordeste;9.39.57.26S;35.44.4.56W
DFBRASILIA0RR001;Brasilia;Centro-Oeste;15.46.46.32S;47.55.48.42W
MTCUIABA0RR001;Cuiaba;Centro-Oeste;15.35.58.20S;56.5.58.20W
SPSAOPAULO0RR001;Sao Paulo;Sudeste;23.33.0.70S;46.37.49.23W
RJRIODEJANEI0RR001;Rio de Janeiro;Sudeste;22.54.34.60S;43.11.59.79W
MGBELOHORIZO0RR001;Belo Horizonte;Sudeste;19.55.10.92S;43.56.25.64W
ESVITORIA0RR001;Vitoria;Sudeste;20.19.8.90S;40.20.13.69W
SPCAMPINAS0RR001;Campinas;Sudeste;22.54.18.66S;47.3.40.53W
SPCAMPINAS0RR002;Campinas;Sudeste;22.54.36.81S;47.3.36.88W
PRCURITIBA0RR001;Curitiba;Sul;25.25.12.03S;49.16.11.87W
SCJOINVILLE0RR001;Joinville;Sul;26.17.58.24S;48.50.59.98W
AMMANAUS0PR001;Manaus;Norte;3.5.59.07S;59.59.58.68W
CEFORTALEZA0PR001;Fortaleza;Nordeste;3.43.13.22S;38.32.24.87W
BASALVADOR0PR001;Salvador;Nordeste;12.58.21.28S;38.30.6.48W
PITERESINA0PR001;Teresina;Nordeste;5.5.32.53S;42.48.12.24W
GOGOIANIA0PR001;Goiania;Centro-Oeste;16.40.12.08S;49.15.1.05W
ESVITORIA0PR001;Vitoria;Sudeste;20.19.12.49S;40.20.22.91W
ESVITORIA0PR002;Vitoria;Sudeste;20.19.10.32S;40.20.15.15W
RJRIODEJANEI0PR001;Rio de Janeiro;Sudeste;22.54.35.38S;43.11.58.64W
SPCAMPINAS0PR001;Campinas;Sudeste;22.54.21.55S;47.3.38.37W
RSPORTOALEGR0PR001;Porto Alegre;Sul;30.2.3.15S;51.13.4.96W
APSANTANA0ED001;Santana;Norte;0.2.5.28S;51.10.47.36W
APMACAPA0ED001;Macapa;Norte;0.1.58.54N;51.3.53.02W
ACCRUZEIRODO0ED001;Cruzeiro do Sul;Norte;7.37.49.03S;72.40.12.30W
ACSENAMADURE0ED001;Sena Madureira;Norte;9.4.11.81S;68.40.12.56W
SENOSSASENHO0ED001;Nossa Senhora do Socorro;Nordeste;10.55.13.42S;37.7.11.07W
SEARACAJU0ED001;Aracaju;Nordeste;10.54.37.42S;37.4.10.90W
PEJABOATAODO0ED001;Jaboatao dos Guararapes;Nordeste;8.6.36.37S;35.1.13.13W
PERECIFE0ED001;Recife;Nordeste;8.3.0.10S;34.54.0.52W
ALMACEIO0ED001;Maceio;Nordeste;9.38.55.83S;35.42.31.65W
ALMACEIO0ED002;Maceio;Nordeste;9.39.56.64S;35.44.7.11W
SEARACAJU0ED002;Aracaju;Nordeste;10.54.35.26S;37.4.13.00W
SEARACAJU0ED003;Aracaju;Nordeste;10.56.48.94S;37.4.24.39W
PBJOAOPESSOA0ED001;Joao Pessoa;Nordeste;7.7.10.96S;34.52.48.77W
PBJOAOPESSOA0ED002;Joao Pessoa;Nordeste;7.7.11.19S;34.50.43.03W
DFBRASILIA0ED001;Brasilia;Centro-Oeste;15.46.48.74S;47.55.49.06W
DFBRASILIA0ED002;Brasilia;Centro-Oeste;15.47.51.37S;47.53.30.10W
DFBRASILIA0ED003;Brasilia;Centro-Oeste;15.47.51.65S;47.53.30.31W
