endpoint-a;endpoint-b;connection_text;strokeWidth;strokeColor;dashed;fontStyle;fontSize
RTIC-MAN01-01;RTIC-BEL02-01;Core Ring Norte;;;;;
RTIC-BEL02-01;RTIC-MAN01-01;Core Ring Norte;;;;;
RTIC-FOR03-01;RTIC-REC04-01;Core Ring Nordeste;;;;;
RTIC-REC04-01;RTIC-SAL05-01;Core Ring Nordeste;;;;;
RTIC-SAL05-01;RTIC-FOR03-01;Core Ring Nordeste;;;;;
RTIC-BRA06-01;RTIC-CUI07-01;Core Ring Centro-Oeste;;;;;
RTIC-CUI07-01;RTIC-BRA06-01;Core Ring Centro-Oeste;;;;;
RTIC-SAO08-01;RTIC-RIO09-01;Core Ring Sudeste;;;;;
RTIC-RIO09-01;RTIC-VIT10-01;Core Ring Sudeste;;;;;
RTIC-VIT10-01;RTIC-BEL11-01;Core Ring Sudeste;;;;;
RTIC-BEL11-01;RTIC-VIT12-01;Core Ring Sudeste;;;;;
RTIC-VIT12-01;RTIC-SAO08-01;Core Ring Sudeste;;;;;
RTIC-CUR13-01;RTIC-POR14-01;Core Ring Sul;;;;;
RTIC-POR14-01;RTIC-CUR13-01;Core Ring Sul;;;;;
RTIC-MAN01-01;RTIC-FOR03-01;National Ring;;;;;
RTIC-FOR03-01;RTIC-BRA06-01;National Ring;;;;;
RTIC-BRA06-01;RTIC-SAO08-01;National Ring;;;;;
RTIC-SAO08-01;RTIC-CUR13-01;National Ring;;;;;
RTIC-CUR13-01;RTIC-MAN01-01;National Ring;;;;;
RTIC-BEL02-01;RTIC-FOR03-01;Cross-Region Redundancy;;;;;
RTIC-REC04-01;RTIC-BRA06-01;Cross-Region Redundancy;;;;;
RTIC-CUI07-01;RTIC-SAO08-01;Cross-Region Redundancy;;;;;
RTIC-RIO09-01;RTIC-CUR13-01;Cross-Region Redundancy;;;;;
RTIC-POR14-01;RTIC-MAN01-01;Cross-Region Redundancy;;;;;
RTRR-Norte01-01;RTIC-MAN01-01;Reflector Link;;;;;
RTRR-Norte01-01;RTIC-BEL02-01;Reflector Link;;;;;
RTRR-Norte02-01;RTIC-MAN01-01;Reflector Link;;;;;
RTRR-Norte02-01;RTIC-BEL02-01;Reflector Link;;;;;
RTRR-Norde03-01;RTIC-FOR03-01;Reflector Link;;;;;
RTRR-Norde03-01;RTIC-REC04-01;Reflector Link;;;;;
RTRR-Norde04-01;RTIC-FOR03-01;Reflector Link;;;;;
RTRR-Norde04-01;RTIC-REC04-01;Reflector Link;;;;;
RTRR-Norde05-01;RTIC-FOR03-01;Reflector Link;;;;;
RTRR-Norde05-01;RTIC-REC04-01;Reflector Link;;;;;
RTRR-Centr06-01;RTIC-BRA06-01;Reflector Link;;;;;
RTRR-Centr06-01;RTIC-CUI07-01;Reflector Link;;;;;
